iter	Passed	Remaining
1373	47550	212213
1374	47611	212293
1375	47625	212170
1376	47689	212263
1377	47704	212141
1378	47719	212019
1379	47780	212105
1380	47795	211983
1381	47857	212070
1382	47872	211948
1383	47931	212022
1384	47946	211900
1385	48006	211978
1386	48022	211857
1387	48036	211735
1388	48098	211820
1389	48113	211698
1390	48172	211773
1391	48187	211652
1392	48248	211733
1393	48263	211610
1394	48325	211698
1395	48341	211582
1396	48361	211482
1397	48417	211538
1398	48431	211417
1399	48493	211499
1400	48508	211380
1401	48567	211450
1402	48582	211331
1403	48645	211420
1404	48660	211299
1405	48680	211202
1406	48735	211257
1407	48750	211137
1408	48814	211230
1409	48830	211113
1410	48891	211191
1411	48905	211071
1412	48964	211138
1413	48979	211019
1414	49000	210927
1415	49055	210979
1416	49070	210859
1417	49132	210942
1418	49147	210824
1419	49208	210905
1420	49223	210785
1421	49283	210856
1422	49298	210738
1423	49313	210620
1424	49377	210710
1425	49392	210591
1426	49452	210665
1427	49467	210549
1428	49528	210627
1429	49544	210510
1430	49602	210576
1431	49617	210458
1432	49681	210546
1433	49696	210429
1434	49711	210311
1435	49772	210388
1436	49787	210270
1437	49847	210343
1438	49862	210227
1439	49924	210306
1440	49939	210188
1441	50000	210265
1442	50015	210146
1443	50030	210029
1444	50090	210102
1445	50105	209985
1446	50166	210060
1447	50181	209944
1448	50239	210005
1449	50254	209889
1450	50317	209974
1451	50333	209859
1452	50348	209742
1453	50410	209822
1454	50425	209707
1455	50486	209781
1456	50501	209665
1457	50561	209737
1458	50576	209620
1459	50637	209693
1460	50652	209578
1461	50716	209664
1462	50730	209546
1463	50746	209431
1464	50805	209498
1465	50820	209383
1466	50881	209454
1467	50896	209340
1468	50955	209406
1469	50970	209290
1470	50990	209194
1471	51048	209256
1472	51063	209140
1473	51121	209204
1474	51136	209087
1475	51197	209162
1476	51213	209048
1477	51274	209120
1478	51289	209005
1479	51308	208909
1480	51365	208963
1481	51380	208848
1482	51444	208936
1483	51459	208821
1484	51518	208884
1485	51534	208771
1486	51593	208837
1487	51608	208723
1488	51629	208631
1489	51684	208678
1490	51699	208565
1491	51759	208633
1492	51764	208478
1493	51778	208363
1494	51841	208439
1495	51855	208324
1496	51918	208402
1497	51933	208289
1498	51992	208350
1499	52007	208236
1500	52027	208143
1501	52082	208190
1502	52097	208077
1503	52161	208159
1504	52175	208044
1505	52237	208117
1506	52252	208003
1507	52310	208063
1508	52325	207950
1509	52340	207836
1510	52401	207905
1511	52415	207791
1512	52476	207858
1513	52492	207749
1514	52555	207826
1515	52570	207715
1516	52629	207778
1517	52644	207666
1518	52664	207572
1519	52718	207615
1520	52733	207502
1521	52795	207575
1522	52810	207461
1523	52868	207520
1524	52883	207408
1525	52947	207489
1526	52962	207377
1527	52982	207283
1528	53037	207329
1529	53052	207217
1530	53113	207286
1531	53129	207175
1532	53189	207241
1533	53204	207130
1534	53266	207202
1535	53281	207091
1536	53297	206981
1537	53356	207043
1538	53371	206932
1539	53433	207001
1540	53448	206891
1541	53508	206954
1542	53524	206849
1543	53586	206917
1544	53601	206808
1545	53616	206697
1546	53676	206762
1547	53691	206651
1548	53751	206711
1549	53766	206600
1550	53825	206660
1551	53840	206550
1552	53904	206627
1553	53919	206518
1554	53934	206407
1555	53995	206474
1556	54010	206365
1557	54070	206423
1558	54085	206314
1559	54145	206376
1560	54160	206267
1561	54168	206131
1562	54228	206192
1563	54243	206083
1564	54303	206145
1565	54318	206035
1566	54338	205944
1567	54393	205986
1568	54408	205877
1569	54472	205954
1570	54487	205846
1571	54549	205912
1572	54564	205805
1573	54627	205875
1574	54641	205765
1575	54701	205825
1576	54716	205716
1577	54731	205607
1578	54791	205668
1579	54806	205560
1580	54867	205624
1581	54882	205515
1582	54942	205574
1583	54957	205466
1584	54972	205358
1585	54975	205205
1586	55034	205259
1587	55049	205152
1588	55111	205220
1589	55126	205113
1590	55188	205179
1591	55203	205072
1592	55262	205128
1593	55278	205021
1594	55338	205082
1595	55354	204976
1596	55373	204887
1597	55429	204928
1598	55444	204820
1599	55507	204892
1600	55522	204785
1601	55579	204831
1602	55595	204727
1603	55657	204794
1604	55672	204687
1605	55692	204599
1606	55748	204641
1607	55752	204496
1608	55816	204568
1609	55832	204463
1610	55847	204358
1611	55906	204411
1612	55921	204304
1613	55982	204368
1614	55997	204262
1615	56055	204311
1616	56070	204205
1617	56090	204116
1618	56145	204154
1619	56160	204050
1620	56224	204122
1621	56239	204017
1622	56241	203862
1623	56300	203917
1624	56316	203812
1625	56376	203870
1626	56391	203765
1627	56454	203831
1628	56469	203726
1629	56484	203620
1630	56543	203675
1631	56558	203569
1632	56620	203632
1633	56636	203530
1634	56693	203577
1635	56708	203472
1636	56773	203544
1637	56788	203439
1638	56803	203334
1639	56863	203391
1640	56878	203287
1641	56938	203342
1642	56953	203236
1643	57012	203290
1644	57028	203187
1645	57092	203256
1646	57107	203152
1647	57122	203048
1648	57181	203100
1649	57195	202993
1650	57257	203055
1651	57272	202950
1652	57331	203000
1653	57346	202896
1654	57361	202792
1655	57424	202857
1656	57439	202753
1657	57499	202809
1658	57514	202704
1659	57573	202757
1660	57588	202652
1661	57650	202712
1662	57666	202614
1663	57729	202676
